Ticker,Ann. Return,Ann. Volatility,Sharpe Ratio,VaR 95% (1-day),VaR 99% (1-day)
TSLA,0.43771284098898,0.561299156055107,0.7798209497860111,0.05109612813043802,0.08931149171174502
BND,0.019230879930031964,0.05216014024607022,0.36868919138845363,0.004724150631212785,0.008536546822541971
SPY,0.1390695415367374,0.173312553500016,0.8024204751949753,0.0163539417130859,0.030428383927051092
