Horizon,Forecast Price,CI Width ($),CI Width (% of forecast price)
1 month (~21d),411.8399963378906,128.93576620208387,31.307247316576706
3 months (~63d),411.8399963378906,223.3232979748218,54.22574299743294
6 months (~126d),411.8399963378906,315.8268367898777,76.68678117672677
12 months (~252d),411.8399963378906,446.6465959496367,108.4514859948642
