Date,Adj Close,Close,High,Low,Open,Volume,daily_return,log_return,rolling_mean_30,rolling_std_30
2015-01-02,169.68788146972656,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900.0,,,,
2015-01-05,166.62332153320312,201.72000122070312,204.3699951171875,201.3500061035156,204.1699981689453,169632600.0,-0.01805998112522944,-0.018225053068755548,,
2015-01-06,165.053955078125,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789065,209151400.0,-0.009418648245860362,-0.009463284207962445,,
2015-01-07,167.1106414794922,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700.0,0.012460691416898761,0.012383695952961809,,
2015-01-08,170.07608032226562,205.8999938964844,206.16000366210935,203.9900054931641,204.0099945068359,147217800.0,0.01774536209375599,0.017589751371413893,,
2015-01-09,168.71316528320312,204.25,206.4199981689453,203.5099945068359,206.3999938964844,158567300.0,-0.008013560969185152,-0.008045842122543967,,
2015-01-12,167.3915252685547,202.6499938964844,204.6000061035156,201.9199981689453,204.41000366210935,144396100.0,-0.007833650755291854,-0.007864494984914795,,
2015-01-13,166.92068481445312,202.0800018310547,205.47999572753903,200.5099945068359,204.1199951171875,214553300.0,-0.002812809390117965,-0.002816772772354436,,
2015-01-14,165.91299438476562,200.86000061035156,201.1000061035156,198.57000732421875,199.6499938964844,192991100.0,-0.006036941621750724,-0.006055237625591391,,
2015-01-15,164.3931427001953,199.02000427246097,202.0099945068359,198.8800048828125,201.6300048828125,176613900.0,-0.009160534352394722,-0.009202750057257267,,
2015-01-16,166.54898071289062,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246097,211879600.0,0.013113916902403489,0.013028673931523356,,
2015-01-19,166.54898071289062,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246097,211879600.0,0.0,0.0,,
2015-01-20,166.90415954589844,202.05999755859375,202.72000122070312,200.1699981689453,202.3999938964844,130991100.0,0.0021325788454995553,0.002130308126984529,,
2015-01-21,167.74673461914062,203.0800018310547,203.66000366210935,200.94000244140625,201.5,122942700.0,0.005048256889071068,0.00503555716331503,,
2015-01-22,170.2412872314453,206.1000061035156,206.2599945068359,202.3300018310547,203.9900054931641,174356000.0,0.014870945881411135,0.014761457495030566,,
2015-01-23,169.30783081054688,204.97000122070312,206.1000061035156,204.80999755859375,205.7899932861328,117516800.0,-0.005483137704600405,-0.005498225280924183,,
