Date,Adj Close,Close,High,Low,Open,Volume,daily_return,log_return,rolling_mean_30,rolling_std_30
2015-01-02,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000.0,,,,
2015-01-05,14.005999565124512,14.005999565124512,14.43333339691162,13.810667037963867,14.303333282470703,80527500.0,-0.04204102817052724,-0.042950328828715974,,
2015-01-06,14.085332870483398,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500.0,0.005664237314159992,0.005648255842151179,,
2015-01-07,14.063332557678224,14.063332557678224,14.3186674118042,13.985333442687988,14.223333358764648,44526000.0,-0.0015619306272326439,-0.001563151712540786,,
2015-01-08,14.041333198547363,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994627,51637500.0,-0.0015643062581812694,-0.0015655310626955213,,
2015-01-09,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495115,13.928000450134276,70024500.0,-0.018801629106854012,-0.01898062692006783,,
2015-01-12,13.480667114257812,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500.0,-0.021532914950603166,-0.021768130883067914,,
2015-01-13,13.616666793823242,13.616666793823242,13.84066677093506,13.394000053405762,13.554667472839355,67159500.0,0.010088497728839352,0.010037948528329803,,
2015-01-14,12.845999717712402,12.845999717712402,13.013333320617676,12.333333015441896,12.388667106628418,173278500.0,-0.05659733676235856,-0.05826208511535263,,
2015-01-15,12.791333198547363,12.791333198547363,13.050000190734863,12.666666984558104,12.965999603271484,78247500.0,-0.004255528597720826,-0.0042646091303445875,,
2015-01-16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,0.006254228739435819,0.006234752215779189,,
2015-01-19,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,0.0,0.0,,
2015-01-20,12.795332908630373,12.795332908630373,12.941332817077637,12.469332695007324,12.924667358398438,67548000.0,-0.005904610882275119,-0.005922112022732264,,
2015-01-21,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000.0,0.024175518017267583,0.023887916243012904,,
2015-01-22,13.441332817077637,13.441332817077637,13.54933261871338,13.013333320617676,13.133333206176758,61753500.0,0.02569055090301542,0.025366093948943954,,
2015-01-23,13.419333457946776,13.419333457946776,13.56666660308838,13.222000122070312,13.352666854858398,51579000.0,-0.0016366947705446222,-0.001638035618669716,,
2015-01-26,13.770000457763672,13.770000457763672,13.907999992370604,13.403332710266112,13.45533275604248,48517500.0,0.026131476717216273,0.025795883487269106,,
