,TSLA,BND,SPY,Expected Return,Volatility,Sharpe Ratio
Max Sharpe (Tangency),0.0,0.54674,0.45326,0.07354882386507151,0.08661897417416548,0.8491075375377489
Min Volatility,0.0,0.9454,0.0546,0.02577409688706711,0.05127632580548973,0.5026510086709
